Date + hour (YYYYMMDDHH),Views
"Jan 24, 2025, 12PM",453
"Jan 24, 2025, 1PM",642
"Jan 24, 2025, 2PM",460
"Jan 24, 2025, 3PM",509
"Jan 24, 2025, 4PM",568
"Jan 24, 2025, 5PM",575
"Jan 24, 2025, 6PM",514
"Jan 24, 2025, 7PM",496
"Jan 24, 2025, 8PM",611
"Jan 24, 2025, 9PM",595
"Jan 24, 2025, 10PM",391
"Jan 24, 2025, 11PM",255
"Jan 25, 2025, 12AM",106
"Jan 25, 2025, 1AM",94
"Jan 25, 2025, 2AM",62
"Jan 25, 2025, 3AM",49
"Jan 25, 2025, 4AM",40
"Jan 25, 2025, 5AM",77
"Jan 25, 2025, 6AM",92
"Jan 25, 2025, 7AM",199
"Jan 25, 2025, 8AM",284
"Jan 25, 2025, 9AM",353
"Jan 25, 2025, 10AM",388
"Jan 25, 2025, 11AM",398
"Jan 25, 2025, 12PM",406
"Jan 25, 2025, 1PM",440
"Jan 25, 2025, 2PM",508
"Jan 25, 2025, 3PM",463
"Jan 25, 2025, 4PM",535
"Jan 25, 2025, 5PM",499
"Jan 25, 2025, 6PM",576
"Jan 25, 2025, 7PM",571
"Jan 25, 2025, 8PM",554
"Jan 25, 2025, 9PM",585
"Jan 25, 2025, 10PM",468
"Jan 25, 2025, 11PM",223
"Jan 26, 2025, 12AM",213
"Jan 26, 2025, 1AM",57
"Jan 26, 2025, 2AM",58
"Jan 26, 2025, 3AM",16
"Jan 26, 2025, 4AM",40
"Jan 26, 2025, 5AM",43
"Jan 26, 2025, 6AM",87
"Jan 26, 2025, 7AM",169
"Jan 26, 2025, 8AM",315
"Jan 26, 2025, 9AM",323
"Jan 26, 2025, 10AM",395
"Jan 26, 2025, 11AM",400
"Jan 26, 2025, 12PM",457
"Jan 26, 2025, 1PM",502
"Jan 26, 2025, 2PM",541
"Jan 26, 2025, 3PM",538
"Jan 26, 2025, 4PM",603
"Jan 26, 2025, 5PM",476
"Jan 26, 2025, 6PM",477
"Jan 26, 2025, 7PM",483
"Jan 26, 2025, 8PM",517
"Jan 26, 2025, 9PM",600
"Jan 26, 2025, 10PM",466
"Jan 26, 2025, 11PM",235
"Jan 27, 2025, 12AM",107
"Jan 27, 2025, 1AM",72
"Jan 27, 2025, 2AM",52
"Jan 27, 2025, 3AM",36
"Jan 27, 2025, 4AM",21
"Jan 27, 2025, 5AM",31
"Jan 27, 2025, 6AM",117
"Jan 27, 2025, 7AM",171
"Jan 27, 2025, 8AM",378
"Jan 27, 2025, 9AM",486
"Jan 27, 2025, 10AM",445
"Jan 27, 2025, 11AM",464
"Jan 27, 2025, 12PM",469
"Jan 27, 2025, 1PM",623
"Jan 27, 2025, 2PM",552
"Jan 27, 2025, 3PM",561
"Jan 27, 2025, 4PM",541
"Jan 27, 2025, 5PM",560
"Jan 27, 2025, 6PM",479
"Jan 27, 2025, 7PM",391
"Jan 27, 2025, 8PM",533
"Jan 27, 2025, 9PM",669
"Jan 27, 2025, 10PM",391
"Jan 27, 2025, 11PM",214
"Jan 28, 2025, 12AM",100
"Jan 28, 2025, 1AM",35
"Jan 28, 2025, 2AM",38
"Jan 28, 2025, 3AM",29
"Jan 28, 2025, 4AM",63
"Jan 28, 2025, 5AM",40
"Jan 28, 2025, 6AM",123
"Jan 28, 2025, 7AM",205
"Jan 28, 2025, 8AM",295
"Jan 28, 2025, 9AM",399
"Jan 28, 2025, 10AM",432
"Jan 28, 2025, 11AM",489
"Jan 28, 2025, 12PM",445
"Jan 28, 2025, 1PM",475
"Jan 28, 2025, 2PM",490
"Jan 28, 2025, 3PM",446
"Jan 28, 2025, 4PM",431
"Jan 28, 2025, 5PM",454
"Jan 28, 2025, 6PM",422
"Jan 28, 2025, 7PM",447
"Jan 28, 2025, 8PM",671
"Jan 28, 2025, 9PM",538
"Jan 28, 2025, 10PM",410
"Jan 28, 2025, 11PM",281
"Jan 29, 2025, 12AM",151
"Jan 29, 2025, 1AM",53
"Jan 29, 2025, 2AM",33
"Jan 29, 2025, 3AM",26
"Jan 29, 2025, 4AM",21
"Jan 29, 2025, 5AM",54
"Jan 29, 2025, 6AM",120
"Jan 29, 2025, 7AM",141
"Jan 29, 2025, 8AM",317
"Jan 29, 2025, 9AM",457
"Jan 29, 2025, 10AM",391
"Jan 29, 2025, 11AM",406
"Jan 29, 2025, 12PM",319
"Jan 29, 2025, 1PM",419
"Jan 29, 2025, 2PM",484
"Jan 29, 2025, 3PM",522
"Jan 29, 2025, 4PM",488
"Jan 29, 2025, 5PM",454
"Jan 29, 2025, 6PM",395
"Jan 29, 2025, 7PM",420
"Jan 29, 2025, 8PM",432
"Jan 29, 2025, 9PM",478
"Jan 29, 2025, 10PM",491
"Jan 29, 2025, 11PM",269
"Jan 30, 2025, 12AM",123
"Jan 30, 2025, 1AM",66
"Jan 30, 2025, 2AM",36
"Jan 30, 2025, 3AM",13
"Jan 30, 2025, 4AM",37
"Jan 30, 2025, 5AM",60
"Jan 30, 2025, 6AM",138
"Jan 30, 2025, 7AM",220
"Jan 30, 2025, 8AM",352
"Jan 30, 2025, 9AM",511
"Jan 30, 2025, 10AM",363
"Jan 30, 2025, 11AM",440
"Jan 30, 2025, 12PM",378
"Jan 30, 2025, 1PM",402
"Jan 30, 2025, 2PM",420
"Jan 30, 2025, 3PM",346
"Jan 30, 2025, 4PM",362
"Jan 30, 2025, 5PM",363
"Jan 30, 2025, 6PM",427
"Jan 30, 2025, 7PM",389
"Jan 30, 2025, 8PM",487
"Jan 30, 2025, 9PM",521
"Jan 30, 2025, 10PM",410
"Jan 30, 2025, 11PM",209
"Jan 31, 2025, 12AM",131
"Jan 31, 2025, 1AM",33
"Jan 31, 2025, 2AM",22
"Jan 31, 2025, 3AM",29
"Jan 31, 2025, 4AM",39
"Jan 31, 2025, 5AM",47
"Jan 31, 2025, 6AM",194
"Jan 31, 2025, 7AM",218
"Jan 31, 2025, 8AM",340
"Jan 31, 2025, 9AM",362
"Jan 31, 2025, 10AM",392
"Jan 31, 2025, 11AM",466
"Jan 31, 2025, 12PM",355
"Jan 31, 2025, 1PM",448
"Jan 31, 2025, 2PM",375
"Jan 31, 2025, 3PM",445
"Jan 31, 2025, 4PM",395
"Jan 31, 2025, 5PM",417
"Jan 31, 2025, 6PM",367
"Jan 31, 2025, 7PM",462
"Jan 31, 2025, 8PM",480
"Jan 31, 2025, 9PM",551
"Jan 31, 2025, 10PM",420
"Jan 31, 2025, 11PM",264
"Feb 1, 2025, 12AM",123
"Feb 1, 2025, 1AM",63
"Feb 1, 2025, 2AM",13
"Feb 1, 2025, 3AM",51
"Feb 1, 2025, 4AM",43
"Feb 1, 2025, 5AM",62
"Feb 1, 2025, 6AM",119
"Feb 1, 2025, 7AM",175
"Feb 1, 2025, 8AM",243
"Feb 1, 2025, 9AM",304
"Feb 1, 2025, 10AM",314
"Feb 1, 2025, 11AM",387
"Feb 1, 2025, 12PM",319
"Feb 1, 2025, 1PM",385
"Feb 1, 2025, 2PM",473
"Feb 1, 2025, 3PM",398
"Feb 1, 2025, 4PM",391
"Feb 1, 2025, 5PM",356
"Feb 1, 2025, 6PM",428
"Feb 1, 2025, 7PM",404
"Feb 1, 2025, 8PM",601
"Feb 1, 2025, 9PM",520
"Feb 1, 2025, 10PM",370
"Feb 1, 2025, 11PM",274
"Feb 2, 2025, 12AM",167
"Feb 2, 2025, 1AM",102
"Feb 2, 2025, 2AM",36
"Feb 2, 2025, 3AM",47
