Date + hour (YYYYMMDDHH),Views
"Jan 28, 2025, 9AM",740
"Jan 28, 2025, 10AM",726
"Jan 28, 2025, 11AM",776
"Jan 28, 2025, 12PM",772
"Jan 28, 2025, 1PM",753
"Jan 28, 2025, 2PM",895
"Jan 28, 2025, 3PM",624
"Jan 28, 2025, 4PM",873
"Jan 28, 2025, 5PM",771
"Jan 28, 2025, 6PM",895
"Jan 28, 2025, 7PM",839
"Jan 28, 2025, 8PM",965
"Jan 28, 2025, 9PM",1034
"Jan 28, 2025, 10PM",939
"Jan 28, 2025, 11PM",741
"Jan 29, 2025, 12AM",569
"Jan 29, 2025, 1AM",329
"Jan 29, 2025, 2AM",124
"Jan 29, 2025, 3AM",51
"Jan 29, 2025, 4AM",143
"Jan 29, 2025, 5AM",95
"Jan 29, 2025, 6AM",106
"Jan 29, 2025, 7AM",189
"Jan 29, 2025, 8AM",323
"Jan 29, 2025, 9AM",577
"Jan 29, 2025, 10AM",615
"Jan 29, 2025, 11AM",870
"Jan 29, 2025, 12PM",836
"Jan 29, 2025, 1PM",630
"Jan 29, 2025, 2PM",770
"Jan 29, 2025, 3PM",928
"Jan 29, 2025, 4PM",901
"Jan 29, 2025, 5PM",886
"Jan 29, 2025, 6PM",884
"Jan 29, 2025, 7PM",913
"Jan 29, 2025, 8PM",583
"Jan 29, 2025, 9PM",675
"Jan 29, 2025, 10PM",875
"Jan 29, 2025, 11PM",655
"Jan 30, 2025, 12AM",308
"Jan 30, 2025, 1AM",210
"Jan 30, 2025, 2AM",93
"Jan 30, 2025, 3AM",116
"Jan 30, 2025, 4AM",77
"Jan 30, 2025, 5AM",92
"Jan 30, 2025, 6AM",172
"Jan 30, 2025, 7AM",147
"Jan 30, 2025, 8AM",303
"Jan 30, 2025, 9AM",471
"Jan 30, 2025, 10AM",553
"Jan 30, 2025, 11AM",698
"Jan 30, 2025, 12PM",855
"Jan 30, 2025, 1PM",715
"Jan 30, 2025, 2PM",766
"Jan 30, 2025, 3PM",716
"Jan 30, 2025, 4PM",1079
"Jan 30, 2025, 5PM",785
"Jan 30, 2025, 6PM",710
"Jan 30, 2025, 7PM",770
"Jan 30, 2025, 8PM",976
"Jan 30, 2025, 9PM",932
"Jan 30, 2025, 10PM",857
"Jan 30, 2025, 11PM",572
"Jan 31, 2025, 12AM",310
"Jan 31, 2025, 1AM",252
"Jan 31, 2025, 2AM",72
"Jan 31, 2025, 3AM",94
"Jan 31, 2025, 4AM",99
"Jan 31, 2025, 5AM",128
"Jan 31, 2025, 6AM",154
"Jan 31, 2025, 7AM",200
"Jan 31, 2025, 8AM",325
"Jan 31, 2025, 9AM",610
"Jan 31, 2025, 10AM",816
"Jan 31, 2025, 11AM",780
"Jan 31, 2025, 12PM",645
"Jan 31, 2025, 1PM",671
"Jan 31, 2025, 2PM",755
"Jan 31, 2025, 3PM",803
"Jan 31, 2025, 4PM",616
"Jan 31, 2025, 5PM",638
"Jan 31, 2025, 6PM",702
"Jan 31, 2025, 7PM",625
"Jan 31, 2025, 8PM",702
"Jan 31, 2025, 9PM",963
"Jan 31, 2025, 10PM",834
"Jan 31, 2025, 11PM",635
"Feb 1, 2025, 12AM",477
"Feb 1, 2025, 1AM",299
"Feb 1, 2025, 2AM",179
"Feb 1, 2025, 3AM",109
"Feb 1, 2025, 4AM",74
"Feb 1, 2025, 5AM",101
"Feb 1, 2025, 6AM",116
"Feb 1, 2025, 7AM",204
"Feb 1, 2025, 8AM",314
"Feb 1, 2025, 9AM",420
"Feb 1, 2025, 10AM",503
"Feb 1, 2025, 11AM",773
"Feb 1, 2025, 12PM",598
"Feb 1, 2025, 1PM",637
"Feb 1, 2025, 2PM",814
"Feb 1, 2025, 3PM",745
"Feb 1, 2025, 4PM",830
"Feb 1, 2025, 5PM",755
"Feb 1, 2025, 6PM",751
"Feb 1, 2025, 7PM",1018
"Feb 1, 2025, 8PM",1074
"Feb 1, 2025, 9PM",811
"Feb 1, 2025, 10PM",1179
"Feb 1, 2025, 11PM",653
