Date + hour (YYYYMMDDHH),Views
"Jan 29, 2025, 1AM",3
"Jan 29, 2025, 2AM",0
"Jan 29, 2025, 3AM",6
"Jan 29, 2025, 5AM",19
"Jan 29, 2025, 6AM",8
"Jan 29, 2025, 7AM",17
"Jan 29, 2025, 8AM",57
"Jan 29, 2025, 9AM",74
"Jan 29, 2025, 10AM",83
"Jan 29, 2025, 11AM",75
"Jan 29, 2025, 12PM",75
"Jan 29, 2025, 1PM",92
"Jan 29, 2025, 2PM",48
"Jan 29, 2025, 3PM",83
"Jan 29, 2025, 4PM",111
"Jan 29, 2025, 5PM",81
"Jan 29, 2025, 6PM",62
"Jan 29, 2025, 7PM",270
"Jan 29, 2025, 8PM",101
"Jan 29, 2025, 9PM",142
"Jan 29, 2025, 10PM",153
"Jan 29, 2025, 11PM",37
"Jan 30, 2025, 12AM",11
"Jan 30, 2025, 1AM",10
"Jan 30, 2025, 2AM",5
"Jan 30, 2025, 3AM",4
"Jan 30, 2025, 5AM",13
"Jan 30, 2025, 6AM",13
"Jan 30, 2025, 7AM",36
"Jan 30, 2025, 8AM",60
"Jan 30, 2025, 9AM",83
"Jan 30, 2025, 10AM",88
"Jan 30, 2025, 11AM",89
"Jan 30, 2025, 12PM",57
"Jan 30, 2025, 1PM",105
"Jan 30, 2025, 2PM",151
"Jan 30, 2025, 3PM",96
"Jan 30, 2025, 4PM",115
"Jan 30, 2025, 5PM",101
"Jan 30, 2025, 6PM",74
"Jan 30, 2025, 7PM",169
"Jan 30, 2025, 8PM",171
"Jan 30, 2025, 9PM",187
"Jan 30, 2025, 10PM",68
"Jan 30, 2025, 11PM",27
"Jan 31, 2025, 12AM",17
"Jan 31, 2025, 1AM",7
"Jan 31, 2025, 2AM",13
"Jan 31, 2025, 3AM",4
"Jan 31, 2025, 4AM",3
"Jan 31, 2025, 5AM",15
"Jan 31, 2025, 6AM",9
"Jan 31, 2025, 7AM",51
"Jan 31, 2025, 8AM",73
"Jan 31, 2025, 9AM",121
"Jan 31, 2025, 10AM",111
"Jan 31, 2025, 11AM",148
"Jan 31, 2025, 12PM",87
"Jan 31, 2025, 1PM",121
"Jan 31, 2025, 2PM",85
"Jan 31, 2025, 3PM",91
"Jan 31, 2025, 4PM",78
"Jan 31, 2025, 5PM",72
"Jan 31, 2025, 6PM",79
"Jan 31, 2025, 7PM",46
"Jan 31, 2025, 8PM",170
"Jan 31, 2025, 9PM",83
"Jan 31, 2025, 10PM",83
"Jan 31, 2025, 11PM",50
"Feb 1, 2025, 12AM",23
"Feb 1, 2025, 1AM",4
"Feb 1, 2025, 2AM",7
"Feb 1, 2025, 3AM",12
"Feb 1, 2025, 5AM",2
"Feb 1, 2025, 6AM",25
"Feb 1, 2025, 7AM",37
"Feb 1, 2025, 8AM",45
"Feb 1, 2025, 9AM",27
"Feb 1, 2025, 10AM",46
"Feb 1, 2025, 11AM",54
"Feb 1, 2025, 12PM",36
"Feb 1, 2025, 1PM",36
"Feb 1, 2025, 2PM",70
"Feb 1, 2025, 3PM",49
"Feb 1, 2025, 4PM",58
"Feb 1, 2025, 5PM",49
"Feb 1, 2025, 6PM",67
"Feb 1, 2025, 7PM",90
"Feb 1, 2025, 8PM",135
"Feb 1, 2025, 9PM",146
"Feb 1, 2025, 10PM",93
"Feb 1, 2025, 11PM",39
"Feb 2, 2025, 12AM",29
"Feb 2, 2025, 1AM",17
"Feb 2, 2025, 2AM",5
"Feb 2, 2025, 4AM",1
"Feb 2, 2025, 5AM",4
"Feb 2, 2025, 6AM",19
"Feb 2, 2025, 7AM",32
"Feb 2, 2025, 8AM",39
"Feb 2, 2025, 9AM",62
"Feb 2, 2025, 10AM",57
"Feb 2, 2025, 11AM",57
"Feb 2, 2025, 12PM",69
"Feb 2, 2025, 1PM",90
"Feb 2, 2025, 2PM",66
"Feb 2, 2025, 3PM",73
"Feb 2, 2025, 4PM",64
